Target,,,,,Accounts,,,,,,API Calls,,,,,,Algorithm,Supported Algorithms,,,,,,,,,,Modes,,,,Context,,Challenge,,,Origin,,,Cross Origin,Top Origin,,,RP ID Hash,,,User Present,User Verified,Backup State,Credential ID Length,Credential ID Unused,,,Allow Credentials,Non-Discoverable Identification,Discoverable Identification,Context,,Challenge,,,Origin,,,Cross Origin,Top Origin,,,RP ID Hash,,,User Present,User Verified,Backup State,Backup Eligible,,Signature,Signature Counter,,,,,Account Enumeration,,,Registration,,,Authentication,,,Responsible Disclosure,,,
PayFit,payfit.com,42158,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syncfusion,syncfusion.com,42618,,,Business email required,,,https://www.syncfusion.com/account/login,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ING Bank Slaski [PL],ing.pl,43339,,,Personal identification required,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,ic0.app,44003,,,Registration Error,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentik Detect,kentik.com,44125,,,Business email required,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talkdesk,talkdesk.com,44918,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrify,centrify.com,45171,,,Business email required,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTX Cryptocurrency Derivatives Exchange,ftx.com,45985,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,tuke.sk,47073,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,codere.mx,47432,,,Foreign phone required,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ.nic,fidoalliance.org,48242,,,Authentication as a Service,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,macif.fr,48509,,,Personal identification required,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,carta.com,48637,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doppler,doppler.com,49331,MW,,TRUE,TRUE,TRUE,https://dashboard.doppler.com/,https://dashboard.doppler.com/workplace/50eb2f3ab27a1f505d56/account,--,"{
  ""rp"": {
    ""name"": ""Doppler"",
    ""id"": ""dashboard.doppler.com""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""Donald Demoson"",
    ""id"": ""Mjk1ZWFmODYtODlkNC00MTcxLWFiZWUtMDk5M2E2Nzc4NWM3""
  },
  ""challenge"": ""ldU6TmNIkqTrW5XFatG00NLJrzwgsyOsSAdmWttj905jUWDIQfrDcZZuvoisBXY_lVop0Ob7gSKkqBEZK7aVu2sSxnmXIo38IMW2cFYlXFa9cnH3nDPxqBG0FbVYy92JYABdi-0qEieAjPKznEii9pkvz0gWAm7ABZtUhJwHgBk"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 30000,
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""7bv9W0JIThbKKdMergJ_jdzhCpXaNRPr4jBTFPlSl30""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""t3TxZR80VhG8TKDblysN07fP-SAYXVeM8j8XVGJUHtU""
    }
  ],
  ""attestation"": ""none""
}","{
  ""origin"": ""https://dashboard.doppler.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""cEVCc3dueU5pRDBBVEdiYmRvQng0OUdyYVZOd3dNam01bnBYUm5BeEFrNzgrclNwK0I2Q3loaGpqWUVRTjF3M29hSmpid0pwMzRDMldVNVNqdDVzOEZNWUhTb0wrZk1uUFhkdWRBWTE0RGUydDRxWXJGZUtucEV0VlpZTEp2ZVg5VGtWZTFMRy9kNDF4ck94QnJ4TWVFY3gyWEkvTFRHMDRUMXFYRE42K2Q0PQ"",
  ""timeout"": 30000,
  ""rpId"": ""dashboard.doppler.com"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""7bv9W0JIThbKKdMergJ_jdzhCpXaNRPr4jBTFPlSl30""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""t3TxZR80VhG8TKDblysN07fP-SAYXVeM8j8XVGJUHtU""
    }
  ],
  ""userVerification"": ""preferred""
}","{
  ""origin"": ""https://dashboard.doppler.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Success,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2FA,FALSE,FALSE,,,,,,,,,,,,,,,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,Failure,N/A,N/A,N/A,,,,,,,,,,
Forgejo,forgejo.org,51570,MW,,TRUE,TRUE,TRUE,https://v11.next.forgejo.org/user/login?redirect_to=%2f,https://v11.next.forgejo.org/user/settings/security,--,"{
  ""rp"": {
    ""name"": ""FOR TESTING ONLY, ALL DATA CAN BE WIPED OUT AT ANY TIME"",
    ""id"": ""v11.next.forgejo.org""
  },
  ""user"": {
    ""name"": ""donald.demoson"",
    ""displayName"": ""donald.demoson"",
    ""id"": ""uhMAAAAAAAA""
  },
  ""challenge"": ""NEPBXbvpvINYnlKx_r7fidw_qxlx6rU20bpa4_1xF7g"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -35
    },
    {
      ""type"": ""public-key"",
      ""alg"": -36
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    },
    {
      ""type"": ""public-key"",
      ""alg"": -258
    },
    {
      ""type"": ""public-key"",
      ""alg"": -259
    },
    {
      ""type"": ""public-key"",
      ""alg"": -37
    },
    {
      ""type"": ""public-key"",
      ""alg"": -38
    },
    {
      ""type"": ""public-key"",
      ""alg"": -39
    },
    {
      ""type"": ""public-key"",
      ""alg"": -8
    }
  ],
  ""timeout"": 120000,
  ""authenticatorSelection"": {
    ""userVerification"": ""discouraged""
  },
  ""attestation"": ""direct""
}","{
  ""origin"": ""https://v11.next.forgejo.org"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""uF45MEdsh032FsFaR_I0Yn3s-XT6akcDdaKqKGT4tm0"",
  ""timeout"": 120000,
  ""rpId"": ""v11.next.forgejo.org"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""t3TxZR80VhG8TKDblysN07fP-SAYXVeM8j8XVGJUHtU""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""7bv9W0JIThbKKdMergJ_jdzhCpXaNRPr4jBTFPlSl30""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""JVGMwGHmOJvfJ-o-E3waqMvonxb2wMnwlgs4QI6BS64""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""ln4ghVtc4_Zw5SjU99eq-sWfHl6ISOlCKkKuO-rVfnQ""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""nmEO1bIX2-JqtA4LdxUCYETFNJ3fL-LgU2sg4EuLJU8""
    }
  ],
  ""userVerification"": ""discouraged""
}","{
  ""origin"": ""https://v11.next.forgejo.org"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,TRUE,Failure,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2FA,FALSE,FALSE,,,,,,,,,,,,,,,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,Failure,N/A,N/A,N/A,,,,,,,,,,
Teleport,goteleport.com,52107,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BitGo,bitgo.com,52236,MW,MW,TRUE,TRUE,TRUE,https://app.bitgo.com/web/auth/signup,https://app.bitgo.com/web/enterprises/68764c40e7e01c76fb667fc370e2841c/account-settings,"Für jedes Hinzufügen und Löschen wird Passkey oder OTP benötigt
","{
  ""rp"": {
    ""name"": ""BitGo"",
    ""id"": ""bitgo.com""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""Donald"",
    ""id"": ""Njg3NjRjM2VlN2UwMWM3NmZiNjY3ZjQy""
  },
  ""challenge"": ""2gvp8USCkItlTGAwLOmMX789aaSHlic233HS84ADh80"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 60000,
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""t3TxZR80VhG8TKDblysN07fP-SAYXVeM8j8XVGJUHtU""
    }
  ],
  ""authenticatorSelection"": {
    ""residentKey"": ""required"",
    ""requireResidentKey"": true,
    ""userVerification"": ""required""
  },
  ""attestation"": ""direct"",
  ""extensions"": {
    ""prf"": ""{\""eval\"":{\""first\"":{\""type\"":\""Buffer\"",\""data\"":[117,60,67,182,1,74,145,75,244,224,156,239,16,180,133,93,91,213,190,67,55,227,122,2,179,179,165,88,210,43,38,228]}}}""
  }
}","{
  ""origin"": ""https://app.bitgo.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""4gPFTO8cBn9iQnJuY824cGEv0rVXLqyR76ctLxONpbQ"",
  ""rpId"": ""bitgo.com"",
  ""allowCredentials"": []
}","{
  ""origin"": ""https://app.bitgo.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Success,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2FA,FALSE,FALSE,Success,Success,Failure,Failure,Failure,Failure,Failure,Failure,Success,Success,Derived,Derived,Success,Success,N/A,Success,Success,Success,Success,Failure,Failure,Failure,N/A,N/A,Failure,Success,Success,Failure,Failure,Failure,Failure,Success,Success,Success,Success,Derived,Derived,Failure,Failure,N/A,Failure,N/A,Success,Success,Success,Success,Success,,,,Failure,N/A,N/A,N/A,,,,,,,https://bugcrowd.com/engagements/bitgo-mbb-og-public,,bitgo.com,
One Identity,oneidentity.com,53119,,,Authentication as a Service,TRUE,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mail.de,mail.de,53981,LJ,,TRUE,TRUE,TRUE,https://my.mail.de/login,https://my.mail.de/,-,"{
  ""rp"": {
    ""name"": ""my.mail.de"",
    ""id"": ""my.mail.de""
  },
  ""user"": {
    ""name"": ""MDE25229197"",
    ""displayName"": ""MDE25229197"",
    ""id"": ""NDYyMDYxNA""
  },
  ""challenge"": ""SpQtGe-jtQY-f64reXShaw"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 60000,
  ""excludeCredentials"": [],
  ""authenticatorSelection"": {
    ""authenticatorAttachment"": ""cross-platform"",
    ""requireResidentKey"": false,
    ""userVerification"": ""discouraged""
  },
  ""extensions"": {
    ""exts"": true
  }
}","{
  ""origin"": ""https://my.mail.de"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
    ""challenge"": ""lRcQAJZGNSRytbpOfYDH6A"",
    ""timeout"": 60000,
    ""allowCredentials"": [
        {
            ""type"": ""public-key"",
            ""transports"": [
                ""usb"",
                ""nfc"",
                ""ble"",
                ""internal""
            ],
            ""id"": ""t3TxZR80VhG8TKDblysN07fP-SAYXVeM8j8XVGJUHtU""
        }
    ],
    ""userVerification"": ""discouraged"",
    ""extensions"": {
        ""txAuthSimple"": ""Execute order 66""
    },
    ""rpId"": ""my.mail.de""
}","{
  ""origin"": ""https://my.mail.de"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Failure,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2FA,FALSE,FALSE,,,,,,,,,,,,,,,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,
Crowd Supply,crowdsupply.com,54100,,,Registration Error,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Tax USA,freetaxusa.com,55427,,,Foreign phone required,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread Financial,breadfinancial.com,58079,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level1Techs Forum,level1techs.com,60188,,,Restricted or paid access,,,https://forum.level1techs.com/,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aID,ba.no,60788,,,Brokered login service,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenwoodworld.com,kenwoodworld.com,61762,MW,,TRUE,TRUE,TRUE,https://www.kenwoodworld.com/de-de/login,-,Email,"{
  ""rp"": {
    ""name"": ""Kenwood"",
    ""id"": ""kenwoodworld.com""
  },
  ""user"": {
    ""name"": ""delme2@sso-monitor.me"",
    ""displayName"": ""delme2@sso-monitor.me"",
    ""id"": ""EYSbBvtIVHyCS6rZ5AmEMq1zwfSlxFI4jW2zWAZwF5Q""
  },
  ""challenge"": ""VVlPZHBEcTJYMGUxdXZyUmdkbmxQdw"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""authenticatorSelection"": {
    ""authenticatorAttachment"": ""platform"",
    ""residentKey"": ""preferred"",
    ""requireResidentKey"": false,
    ""userVerification"": ""required""
  }
}","{
  ""origin"": ""https://www.kenwoodworld.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""RVloXzFWVDdGRXl6UVIwU2ZNSHFIZw"",
  ""rpId"": ""kenwoodworld.com"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""t3TxZR80VhG8TKDblysN07fP-SAYXVeM8j8XVGJUHtU"",
      ""transports"": [
        ""internal""
      ]
    }
  ],
  ""userVerification"": ""preferred""
}","{
  ""origin"": ""https://www.kenwoodworld.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""silent""
}",FALSE,TRUE,Success,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,N/A,TRUE,FALSE,FALSE,Dein Konto ist fast fertig,Falsche Mailadresse oder Passwort,Falsche Mailadresse oder Passwort,UngĂźltiger Login oder ungĂźltiges Kennwort,UngĂźltiger Login oder ungĂźltiges Kennwort,UngĂźltiger Login oder ungĂźltiges Kennwort,,,,
Visma,tripletex.no,62730,,,Brokered login service,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moneybird,moneybird.com,63450,MW,,TRUE,TRUE,TRUE,https://moneybird.com/login,https://moneybird.com/user/webauthn_credentials,Password + Rate Limiting,"{
  ""rp"": {
    ""name"": ""Moneybird"",
    ""id"": ""moneybird.com""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""donald.demoson@gmail.com"",
    ""id"": ""45902482413348657w""
  },
  ""challenge"": ""gPwG1oWjpkZ91jLYqNxIe1_nv9kKZakhWPpGPL1g5nE"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -37
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 120000,
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""t3TxZR80VhG8TKDblysN07fP-SAYXVeM8j8XVGJUHtU""
    }
  ],
  ""authenticatorSelection"": {
    ""authenticatorAttachment"": ""platform"",
    ""residentKey"": ""required"",
    ""userVerification"": ""required""
  },
  ""extensions"": {}
}","{
  ""origin"": ""https://moneybird.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""5992ebc5d8fcbcfa8fbe6e218a5c7d4decb26596087bc1ae58bdbcebee050494"",
  ""timeout"": 120000,
  ""rpId"": ""moneybird.com"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""JVGMwGHmOJvfJ-o-E3waqMvonxb2wMnwlgs4QI6BS64""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""t3TxZR80VhG8TKDblysN07fP-SAYXVeM8j8XVGJUHtU""
    }
  ],
  ""userVerification"": ""required"",
  ""extensions"": {}
}","{
  ""origin"": ""https://moneybird.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Failure,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2FA,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,
N/A,commercebank.com,64285,,,Restricted or paid access,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aID,api.no,65363,,,Brokered login service,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrust,trustedauth.com,65638,,,Website down,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,palemoon.org,66681,,,Platform,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enpass,enpass.io,67370,,,Authentication as a Service,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aID,nordlys.no,67885,,,Brokered login service,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,kcex.com,68094,MW,,TRUE,TRUE,TRUE,https://www.kcex.com/login,https://www.kcex.com/user/security,SMS || 2FA,"{
  ""rp"": {
    ""name"": ""KCEX"",
    ""id"": ""kcex.com""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""passkey on Linux Chrome 141.0.0"",
    ""id"": ""AAAAAAM2Bi0""
  },
  ""challenge"": ""L5yDjzWMfYxcg63NuI9HP2tD3sw6yIng93CouPQFR_Y"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -8
    },
    {
      ""type"": ""public-key"",
      ""alg"": -35
    },
    {
      ""type"": ""public-key"",
      ""alg"": -36
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    },
    {
      ""type"": ""public-key"",
      ""alg"": -258
    },
    {
      ""type"": ""public-key"",
      ""alg"": -259
    }
  ],
  ""timeout"": 120000,
  ""excludeCredentials"": [],
  ""authenticatorSelection"": {
    ""residentKey"": ""required"",
    ""requireResidentKey"": true,
    ""userVerification"": ""required""
  },
  ""attestation"": ""direct"",
  ""extensions"": {
    ""credProps"": true
  }
}","{
  ""origin"": ""https://www.kcex.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""Z8S8a8lJSWjkAkuaAi0O-IF7oAfoaVWgP9jlEXFXXVU"",
  ""timeout"": 120000,
  ""rpId"": ""kcex.com"",
  ""allowCredentials"": [],
  ""userVerification"": ""required"",
  ""extensions"": {}
}","{
  ""origin"": ""https://www.kcex.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",FALSE,FALSE,Failure,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,
